id,Geographic Area Name,County,State,Estimate!!Gini Index,Margin of Error!!Gini Index
0500000US29051,Cole County,Cole, Missouri,0.4035,0.0406
0500000US47189,Wilson County,Wilson, Tennessee,0.4037,0.0239
0500000US48251,Johnson County,Johnson, Texas,0.4038,0.0234
0500000US18081,Johnson County,Johnson, Indiana,0.4039,0.0248
0500000US26005,Allegan County,Allegan, Michigan,0.404,0.0239
0500000US41019,Douglas County,Douglas, Oregon,0.404,0.0229
0500000US53061,Snohomish County,Snohomish, Washington,0.4041,0.0091
0500000US06107,Tulare County,Tulare, California,0.5055,0.0236
0500000US53041,Lewis County,Lewis, Washington,0.4044,0.0298
0500000US08123,Weld County,Weld, Colorado,0.4045,0.013
0500000US51107,Loudoun County,Loudoun, Virginia,0.4052,0.0203
0500000US37101,Johnston County,Johnston, North Carolina,0.4053,0.0234
0500000US12119,Sumter County,Sumter, Florida,0.4055,0.0387
0500000US18005,Bartholomew County,Bartholomew, Indiana,0.4055,0.0225
0500000US18085,Kosciusko County,Kosciusko, Indiana,0.4059,0.0304
0500000US39023,Clark County,Clark, Ohio,0.4064,0.0211
0500000US05125,Saline County,Saline, Arkansas,0.4071,0.028
0500000US51061,Fauquier County,Fauquier, Virginia,0.4071,0.0351
0500000US53045,Mason County,Mason, Washington,0.4071,0.0286
0500000US36083,Rensselaer County,Rensselaer, New York,0.4072,0.0252
0500000US55117,Sheboygan County,Sheboygan, Wisconsin,0.4074,0.0209
0500000US29047,Clay County,Clay, Missouri,0.4075,0.0153
0500000US49005,Cache County,Cache, Utah,0.4084,0.0216
0500000US17197,Will County,Will, Illinois,0.4087,0.0111
0500000US24021,Frederick County,Frederick, Maryland,0.4088,0.0163
0500000US36053,Madison County,Madison, New York,0.4088,0.0288
0500000US51161,Roanoke County,Roanoke, Virginia,0.4088,0.0243
0500000US51550,Chesapeake city,Chesapea, Virginia,0.4088,0.0259
0500000US37069,Franklin County,Franklin, North Carolina,0.4089,0.0322
0500000US37133,Onslow County,Onslow, North Carolina,0.4089,0.0333
0500000US01115,St. Clair County,St. Clair, Alabama,0.409,0.0281
0500000US24027,Howard County,Howard, Maryland,0.409,0.0148
0500000US48187,Guadalupe County,Guadalupe, Texas,0.4096,0.0246
0500000US36019,Clinton County,Clinton, New York,0.4097,0.0284
0500000US27037,Dakota County,Dakota, Minnesota,0.4101,0.0112
0500000US46099,Minnehaha County,Minnehaha, South Dakota,0.4103,0.0198
0500000US24025,Harford County,Harford, Maryland,0.4107,0.0154
0500000US51041,Chesterfield County,Chesterfield, Virginia,0.4107,0.0151
0500000US13063,Clayton County,Clayton, Georgia,0.4108,0.0227
0500000US19049,Dallas County,Dallas, Iowa,0.411,0.0262
0500000US27019,Carver County,Carver, Minnesota,0.411,0.0226
0500000US38015,Burleigh County,Burleigh, North Dakota,0.411,0.0238
0500000US17111,McHenry County,McHenry, Illinois,0.4112,0.0196
0500000US48497,Wise County,Wise, Texas,0.4116,0.0362
0500000US26103,Marquette County,Marquette, Michigan,0.4117,0.0299
0500000US51177,Spotsylvania County,Spotsylvania, Virginia,0.4118,0.0344
0500000US39103,Medina County,Medina, Ohio,0.4119,0.0206
0500000US34015,Gloucester County,Gloucester, New Jersey,0.412,0.0127
0500000US55055,Jefferson County,Jefferson, Wisconsin,0.4121,0.0287
0500000US16005,Bannock County,Bannock, Idaho,0.4125,0.0208
0500000US24013,Carroll County,Carroll, Maryland,0.4125,0.0249
0500000US55071,Manitowoc County,Manitowoc, Wisconsin,0.4126,0.0191
0500000US18039,Elkhart County,Elkhart, Indiana,0.4128,0.0182
0500000US53025,Grant County,Grant, Washington,0.413,0.0263
0500000US06037,Los Angeles County,Los Angeles, California,0.5016,0.0035
0500000US41043,Linn County,Linn, Oregon,0.4132,0.0285
0500000US26115,Monroe County,Monroe, Michigan,0.4136,0.0219
0500000US37031,Carteret County,Carteret, North Carolina,0.4137,0.022
0500000US34037,Sussex County,Sussex, New Jersey,0.4141,0.0211
0500000US29099,Jefferson County,Jefferson, Missouri,0.4145,0.0383
0500000US01083,Limestone County,Limestone, Alabama,0.4149,0.031
0500000US29021,Buchanan County,Buchanan, Missouri,0.415,0.0287
0500000US55105,Rock County,Rock, Wisconsin,0.4151,0.0327
0500000US47155,Sevier County,Sevier, Tennessee,0.4153,0.0267
0500000US55087,Outagamie County,Outagamie, Wisconsin,0.4156,0.0188
0500000US31153,Sarpy County,Sarpy, Nebraska,0.4157,0.0255
0500000US55027,Dodge County,Dodge, Wisconsin,0.4159,0.0369
0500000US08001,Adams County,Adams, Colorado,0.4161,0.0211
0500000US01051,Elmore County,Elmore, Alabama,0.4162,0.0361
0500000US37085,Harnett County,Harnett, North Carolina,0.4163,0.0226
0500000US17179,Tazewell County,Tazewell, Illinois,0.4174,0.0349
0500000US23031,York County,York, Maine,0.4175,0.0166
0500000US35043,Sandoval County,Sandoval, New Mexico,0.4175,0.0187
0500000US13073,Columbia County,Columbia, Georgia,0.418,0.024
0500000US39041,Delaware County,Delaware, Ohio,0.418,0.019
0500000US39165,Warren County,Warren, Ohio,0.4182,0.0235
0500000US48381,Randall County,Randall, Texas,0.4182,0.021
0500000US26155,Shiawassee County,Shiawassee, Michigan,0.4183,0.028
0500000US42081,Lycoming County,Lycoming, Pennsylvania,0.4183,0.0187
0500000US13247,Rockdale County,Rockdale, Georgia,0.4184,0.0333
0500000US36051,Livingston County,Livingston, New York,0.4185,0.0351
0500000US36079,Putnam County,Putnam, New York,0.4188,0.0268
0500000US47147,Robertson County,Robertson, Tennessee,0.419,0.0364
0500000US48291,Liberty County,Liberty, Texas,0.419,0.0342
0500000US18019,Clark County,Clark, Indiana,0.4192,0.0274
0500000US39013,Belmont County,Belmont, Ohio,0.4196,0.0285
0500000US53021,Franklin County,Franklin, Washington,0.42,0.0645
0500000US18067,Howard County,Howard, Indiana,0.4202,0.0327
0500000US51810,Virginia Beach city,Virginia Bea, Virginia,0.4205,0.0119
0500000US09013,Tolland County,Tolland, Connecticut,0.4206,0.0221
0500000US39109,Miami County,Miami, Ohio,0.4206,0.0276
0500000US24003,Anne Arundel County,Anne Arundel, Maryland,0.4212,0.0154
0500000US18127,Porter County,Porter, Indiana,0.4213,0.017
0500000US41067,Washington County,Washington, Oregon,0.4213,0.0133
0500000US26045,Eaton County,Eaton, Michigan,0.4216,0.0349
0500000US53035,Kitsap County,Kitsap, Washington,0.4216,0.0153
0500000US35025,Lea County,Lea, New Mexico,0.4217,0.0279
0500000US49049,Utah County,Utah, Utah,0.4218,0.0158
0500000US02020,Anchorage Municipality,Anchorage Munic, Alaska,0.4219,0.0161
0500000US26091,Lenawee County,Lenawee, Michigan,0.422,0.0237
0500000US31109,Lancaster County,Lancaster, Nebraska,0.422,0.0103
0500000US36009,Cattaraugus County,Cattaraugus, New York,0.422,0.021
0500000US08059,Jefferson County,Jefferson, Colorado,0.4222,0.0098
0500000US12019,Clay County,Clay, Florida,0.4223,0.0321
0500000US27163,Washington County,Washington, Minnesota,0.4224,0.0168
0500000US39085,Lake County,Lake, Ohio,0.4224,0.0223
0500000US44009,Washington County,Washington, Rhode Island,0.4224,0.0245
0500000US48361,Orange County,Orange, Texas,0.4225,0.0305
0500000US53011,Clark County,Clark, Washington,0.4225,0.0122
0500000US53053,Pierce County,Pierce, Washington,0.4225,0.0109
0500000US36045,Jefferson County,Jefferson, New York,0.4226,0.0263
0500000US41047,Marion County,Marion, Oregon,0.4226,0.0205
0500000US48027,Bell County,Bell, Texas,0.4226,0.0226
0500000US55039,Fond du Lac County,Fond du Lac, Wisconsin,0.4226,0.0343
0500000US42021,Cambria County,Cambria, Pennsylvania,0.4227,0.014
0500000US36091,Saratoga County,Saratoga, New York,0.4228,0.0191
0500000US41059,Umatilla County,Umatilla, Oregon,0.4228,0.0254
0500000US48257,Kaufman County,Kaufman, Texas,0.4229,0.0366
0500000US41035,Klamath County,Klamath, Oregon,0.423,0.0306
0500000US09015,Windham County,Windham, Connecticut,0.4233,0.0316
0500000US20209,Wyandotte County,Wyandotte, Kansas,0.4234,0.0203
0500000US06113,Yolo County,Yolo, California,0.49,0.0227
0500000US12113,Santa Rosa County,Santa Rosa, Florida,0.4238,0.0253
0500000US45063,Lexington County,Lexington, South Carolina,0.4239,0.0136
0500000US55035,Eau Claire County,Eau Claire, Wisconsin,0.424,0.0278
0500000US13077,Coweta County,Coweta, Georgia,0.4242,0.0214
0500000US53005,Benton County,Benton, Washington,0.4247,0.0203
0500000US29043,Christian County,Christian, Missouri,0.4248,0.0341
0500000US42089,Monroe County,Monroe, Pennsylvania,0.425,0.0255
0500000US39089,Licking County,Licking, Ohio,0.4251,0.0232
0500000US51800,Suffolk city,Suffo, Virginia,0.4251,0.0244
0500000US48021,Bastrop County,Bastrop, Texas,0.4253,0.0291
0500000US39157,Tuscarawas County,Tuscarawas, Ohio,0.4254,0.0207
0500000US13135,Gwinnett County,Gwinnett, Georgia,0.4255,0.0145
0500000US53077,Yakima County,Yakima, Washington,0.4258,0.0201
0500000US13057,Cherokee County,Cherokee, Georgia,0.426,0.0223
0500000US45055,Kershaw County,Kershaw, South Carolina,0.426,0.0345
0500000US08014,Broomfield County,Broomfield, Colorado,0.4262,0.0327
0500000US55141,Wood County,Wood, Wisconsin,0.4263,0.0306
0500000US39045,Fairfield County,Fairfield, Ohio,0.4268,0.0276
0500000US48005,Angelina County,Angelina, Texas,0.427,0.0281
0500000US26099,Macomb County,Macomb, Michigan,0.4271,0.0094
0500000US37035,Catawba County,Catawba, North Carolina,0.4273,0.017
0500000US39003,Allen County,Allen, Ohio,0.4273,0.0275
0500000US13313,Whitfield County,Whitfield, Georgia,0.4274,0.0235
0500000US48039,Brazoria County,Brazoria, Texas,0.4278,0.0195
0500000US13255,Spalding County,Spalding, Georgia,0.4279,0.0399
0500000US21185,Oldham County,Oldham, Kentucky,0.4279,0.0251
0500000US55097,Portage County,Portage, Wisconsin,0.4279,0.0333
0500000US29071,Franklin County,Franklin, Missouri,0.428,0.0348
0500000US35005,Chaves County,Chaves, New Mexico,0.428,0.0241
0500000US33015,Rockingham County,Rockingham, New Hampshire,0.4282,0.0153
0500000US18095,Madison County,Madison, Indiana,0.4285,0.0214
0500000US12097,Osceola County,Osceola, Florida,0.4286,0.0214
0500000US23001,Androscoggin County,Androscoggin, Maine,0.4287,0.0188
0500000US38101,Ward County,Ward, North Dakota,0.4287,0.0298
0500000US09011,New London County,New London, Connecticut,0.4291,0.0139
0500000US37019,Brunswick County,Brunswick, North Carolina,0.4291,0.018
0500000US48139,Ellis County,Ellis, Texas,0.4291,0.0691
0500000US42039,Crawford County,Crawford, Pennsylvania,0.4296,0.0344
0500000US27131,Rice County,Rice, Minnesota,0.4299,0.024
0500000US55127,Walworth County,Walworth, Wisconsin,0.4299,0.0232
0500000US39025,Clermont County,Clermont, Ohio,0.4301,0.0175
0500000US42005,Armstrong County,Armstrong, Pennsylvania,0.4301,0.0239
0500000US27145,Stearns County,Stearns, Minnesota,0.4302,0.0201
0500000US15003,Honolulu County,Honolulu, Hawaii,0.4303,0.0093
0500000US26055,Grand Traverse County,Grand Traverse, Michigan,0.4305,0.0339
0500000US18177,Wayne County,Wayne, Indiana,0.4306,0.0387
0500000US29031,Cape Girardeau County,Cape Girardeau, Missouri,0.4306,0.0323
0500000US34023,Middlesex County,Middlesex, New Jersey,0.4307,0.0111
0500000US02090,Fairbanks North Star Borough,Fairbanks North Star , Alaska,0.4308,0.0356
0500000US13097,Douglas County,Douglas, Georgia,0.4308,0.0281
0500000US18043,Floyd County,Floyd, Indiana,0.4308,0.0327
0500000US19193,Woodbury County,Woodbury, Iowa,0.4308,0.0285
0500000US47009,Blount County,Blount, Tennessee,0.4308,0.0268
0500000US15007,Kauai County,Kauai, Hawaii,0.431,0.0352
0500000US45015,Berkeley County,Berkeley, South Carolina,0.4311,0.0235
0500000US34041,Warren County,Warren, New Jersey,0.4312,0.0237
0500000US19153,Polk County,Polk, Iowa,0.4317,0.0111
0500000US28067,Jones County,Jones, Mississippi,0.4317,0.0367
0500000US26025,Calhoun County,Calhoun, Michigan,0.4321,0.0201
0500000US48121,Denton County,Denton, Texas,0.4321,0.0106
0500000US26121,Muskegon County,Muskegon, Michigan,0.4327,0.0184
0500000US51059,Fairfax County,Fairfax, Virginia,0.4327,0.0068
0500000US45085,Sumter County,Sumter, South Carolina,0.4329,0.0326
0500000US48409,San Patricio County,San Patricio, Texas,0.4329,0.0264
0500000US42007,Beaver County,Beaver, Pennsylvania,0.433,0.0235
0500000US42055,Franklin County,Franklin, Pennsylvania,0.433,0.0313
0500000US40027,Cleveland County,Cleveland, Oklahoma,0.4332,0.0188
0500000US47187,Williamson County,Williamson, Tennessee,0.4333,0.0197
0500000US04015,Mohave County,Mohave, Arizona,0.4334,0.0207
0500000US28049,Hinds County,Hinds, Mississippi,0.4334,0.016
0500000US12005,Bay County,Bay, Florida,0.4339,0.0303
0500000US26017,Bay County,Bay, Michigan,0.4341,0.0334
0500000US34019,Hunterdon County,Hunterdon, New Jersey,0.4342,0.0183
0500000US53029,Island County,Island, Washington,0.4342,0.0338
0500000US17037,DeKalb County,DeKalb, Illinois,0.4346,0.0253
0500000US47125,Montgomery County,Montgomery, Tennessee,0.4347,0.0265
0500000US05085,Lonoke County,Lonoke, Arkansas,0.4349,0.0275
0500000US09007,Middlesex County,Middlesex, Connecticut,0.4349,0.0208
0500000US12111,St. Lucie County,St. Lucie, Florida,0.435,0.0227
0500000US24043,Washington County,Washington, Maryland,0.4351,0.0229
0500000US42133,York County,York, Pennsylvania,0.4351,0.016
0500000US55101,Racine County,Racine, Wisconsin,0.4351,0.0162
0500000US17161,Rock Island County,Rock Island, Illinois,0.4355,0.0232
0500000US10001,Kent County,Kent, Delaware,0.4356,0.0221
0500000US53009,Clallam County,Clallam, Washington,0.4356,0.0258
0500000US36093,Schenectady County,Schenectady, New York,0.4357,0.019
0500000US49053,Washington County,Washington, Utah,0.4358,0.0296
0500000US19113,Linn County,Linn, Iowa,0.436,0.0176
0500000US48085,Collin County,Collin, Texas,0.4361,0.0106
0500000US37025,Cabarrus County,Cabarrus, North Carolina,0.4363,0.0201
0500000US33013,Merrimack County,Merrimack, New Hampshire,0.4366,0.0202
0500000US17119,Madison County,Madison, Illinois,0.4367,0.0138
0500000US51013,Arlington County,Arlington, Virginia,0.4367,0.0178
0500000US36117,Wayne County,Wayne, New York,0.4368,0.0466
0500000US42071,Lancaster County,Lancaster, Pennsylvania,0.4368,0.0158
0500000US22015,Bossier Parish,Bossier, Louisiana,0.4369,0.0209
0500000US40031,Comanche County,Comanche, Oklahoma,0.4369,0.0286
0500000US26159,Van Buren County,Van Buren, Michigan,0.4371,0.0269
0500000US26147,St. Clair County,St. Clair, Michigan,0.4372,0.0194
0500000US39101,Marion County,Marion, Ohio,0.4373,0.035
0500000US39151,Stark County,Stark, Ohio,0.4373,0.0142
0500000US51650,Hampton city,Hampt, Virginia,0.4373,0.0224
0500000US08041,El Paso County,El Paso, Colorado,0.4374,0.0124
0500000US27013,Blue Earth County,Blue Earth, Minnesota,0.4375,0.0281
0500000US21117,Kenton County,Kenton, Kentucky,0.4377,0.0168
0500000US53073,Whatcom County,Whatcom, Washington,0.4378,0.0205
0500000US45035,Dorchester County,Dorchester, South Carolina,0.4384,0.0271
0500000US36113,Warren County,Warren, New York,0.4385,0.0322
0500000US39139,Richland County,Richland, Ohio,0.4386,0.0318
0500000US48157,Fort Bend County,Fort Bend, Texas,0.4386,0.0142
0500000US50007,Chittenden County,Chittenden, Vermont,0.4386,0.0265
0500000US53057,Skagit County,Skagit, Washington,0.4386,0.0269
0500000US12009,Brevard County,Brevard, Florida,0.4387,0.0117
0500000US42063,Indiana County,Indiana, Pennsylvania,0.4387,0.028
0500000US45083,Spartanburg County,Spartanburg, South Carolina,0.4389,0.0202
0500000US39063,Hancock County,Hancock, Ohio,0.4393,0.0361
0500000US06083,Santa Barbara County,Santa Barbara, California,0.4881,0.0168
0500000US06033,Lake County,Lake, California,0.487,0.0387
0500000US08069,Larimer County,Larimer, Colorado,0.4396,0.0167
0500000US15009,Maui County,Maui, Hawaii,0.4396,0.0245
0500000US49035,Salt Lake County,Salt Lake, Utah,0.4399,0.0106
0500000US36011,Cayuga County,Cayuga, New York,0.4402,0.032
0500000US42129,Westmoreland County,Westmoreland, Pennsylvania,0.4404,0.0138
0500000US24045,Wicomico County,Wicomico, Maryland,0.4405,0.0266
0500000US36103,Suffolk County,Suffolk, New York,0.4405,0.0087
0500000US48181,Grayson County,Grayson, Texas,0.4405,0.0284
0500000US12117,Seminole County,Seminole, Florida,0.4406,0.0117
0500000US42069,Lackawanna County,Lackawanna, Pennsylvania,0.4406,0.0185
0500000US36085,Richmond County,Richmond, New York,0.441,0.0119
0500000US22105,Tangipahoa Parish,Tangipahoa, Louisiana,0.4412,0.0326
0500000US23005,Cumberland County,Cumberland, Maine,0.4413,0.0119
0500000US42095,Northampton County,Northampton, Pennsylvania,0.4414,0.0179
0500000US19155,Pottawattamie County,Pottawattamie, Iowa,0.4416,0.029
0500000US27137,St. Louis County,St. Louis, Minnesota,0.4416,0.0113
0500000US18011,Boone County,Boone, Indiana,0.4417,0.035
0500000US18089,Lake County,Lake, Indiana,0.4417,0.0125
0500000US51700,Newport News city,Newport Ne, Virginia,0.4417,0.0307
0500000US06081,San Mateo County,San Mateo, California,0.4846,0.0095
0500000US47119,Maury County,Maury, Tennessee,0.442,0.0318
0500000US51165,Rockingham County,Rockingham, Virginia,0.442,0.0448
0500000US21059,Daviess County,Daviess, Kentucky,0.4421,0.0333
0500000US22045,Iberia Parish,Iberia, Louisiana,0.4421,0.0344
0500000US36101,Steuben County,Steuben, New York,0.4422,0.0263
0500000US19061,Dubuque County,Dubuque, Iowa,0.4424,0.0273
0500000US40125,Pottawatomie County,Pottawatomie, Oklahoma,0.4424,0.0252
0500000US13067,Cobb County,Cobb, Georgia,0.4425,0.0125
0500000US23011,Kennebec County,Kennebec, Maine,0.4426,0.0267
0500000US29097,Jasper County,Jasper, Missouri,0.4426,0.0235
0500000US12053,Hernando County,Hernando, Florida,0.4427,0.017
0500000US22063,Livingston Parish,Livingston, Louisiana,0.4427,0.0384
0500000US42011,Berks County,Berks, Pennsylvania,0.4429,0.0178
0500000US36089,St. Lawrence County,St. Lawrence, New York,0.443,0.0202
0500000US42073,Lawrence County,Lawrence, Pennsylvania,0.4433,0.0237
0500000US28059,Jackson County,Jackson, Mississippi,0.4434,0.0274
0500000US12015,Charlotte County,Charlotte, Florida,0.4435,0.0192
0500000US39173,Wood County,Wood, Ohio,0.4436,0.0187
0500000US56021,Laramie County,Laramie, Wyoming,0.4437,0.0384
0500000US06041,Marin County,Marin, California,0.4837,0.0144
0500000US37045,Cleveland County,Cleveland, North Carolina,0.444,0.032
0500000US39029,Columbiana County,Columbiana, Ohio,0.444,0.0271
0500000US48441,Taylor County,Taylor, Texas,0.444,0.0195
0500000US37051,Cumberland County,Cumberland, North Carolina,0.4441,0.0197
0500000US04005,Coconino County,Coconino, Arizona,0.4442,0.0223
0500000US47059,Greene County,Greene, Tennessee,0.4442,0.036
0500000US13113,Fayette County,Fayette, Georgia,0.4446,0.0324
0500000US02170,Matanuska-Susitna Borough,Matanuska-Susitna , Alaska,0.4447,0.021
0500000US06087,Santa Cruz County,Santa Cruz, California,0.4797,0.0184
0500000US47165,Sumner County,Sumner, Tennessee,0.4448,0.027
0500000US47141,Putnam County,Putnam, Tennessee,0.445,0.029
0500000US34033,Salem County,Salem, New Jersey,0.4453,0.027
0500000US44003,Kent County,Kent, Rhode Island,0.4453,0.0241
0500000US48231,Hunt County,Hunt, Texas,0.4453,0.0269
0500000US06007,Butte County,Butte, California,0.4781,0.0173
0500000US01103,Morgan County,Morgan, Alabama,0.4455,0.0374
0500000US34005,Burlington County,Burlington, New Jersey,0.4455,0.0147
0500000US22005,Ascension Parish,Ascension, Louisiana,0.4456,0.0376
0500000US37057,Davidson County,Davidson, North Carolina,0.4456,0.0259
0500000US55025,Dane County,Dane, Wisconsin,0.4456,0.0117
0500000US06085,Santa Clara County,Santa Clara, California,0.4751,0.0071
0500000US06059,Orange County,Orange, California,0.4731,0.0061
0500000US12035,Flagler County,Flagler, Florida,0.4458,0.0271
0500000US12105,Polk County,Polk, Florida,0.4458,0.0137
0500000US53007,Chelan County,Chelan, Washington,0.4458,0.0312
0500000US10005,Sussex County,Sussex, Delaware,0.4459,0.0193
0500000US51019,Bedford County,Bedford, Virginia,0.4459,0.0428
0500000US39133,Portage County,Portage, Ohio,0.4464,0.0289
0500000US20103,Leavenworth County,Leavenworth, Kansas,0.4465,0.0633
0500000US42017,Bucks County,Bucks, Pennsylvania,0.4465,0.0111
0500000US12101,Pasco County,Pasco, Florida,0.4467,0.0096
0500000US42051,Fayette County,Fayette, Pennsylvania,0.4468,0.0243
0500000US01055,Etowah County,Etowah, Alabama,0.4469,0.0347
0500000US12069,Lake County,Lake, Florida,0.4469,0.0213
0500000US30013,Cascade County,Cascade, Montana,0.4469,0.0353
0500000US37183,Wake County,Wake, North Carolina,0.447,0.0106
0500000US40131,Rogers County,Rogers, Oklahoma,0.447,0.0287
0500000US42041,Cumberland County,Cumberland, Pennsylvania,0.4473,0.0184
0500000US42111,Somerset County,Somerset, Pennsylvania,0.4474,0.0257
0500000US26087,Lapeer County,Lapeer, Michigan,0.4475,0.0432
0500000US41033,Josephine County,Josephine, Oregon,0.4475,0.0377
0500000US42037,Columbia County,Columbia, Pennsylvania,0.4475,0.0289
0500000US55009,Brown County,Brown, Wisconsin,0.4475,0.0394
0500000US13153,Houston County,Houston, Georgia,0.4476,0.0302
0500000US42079,Luzerne County,Luzerne, Pennsylvania,0.4477,0.0145
0500000US33011,Hillsborough County,Hillsborough, New Hampshire,0.4478,0.0146
0500000US39155,Trumbull County,Trumbull, Ohio,0.4482,0.0179
0500000US06029,Kern County,Kern, California,0.4725,0.0117
0500000US30063,Missoula County,Missoula, Montana,0.4483,0.0303
0500000US17089,Kane County,Kane, Illinois,0.4484,0.0187
0500000US04027,Yuma County,Yuma, Arizona,0.4486,0.0227
0500000US18035,Delaware County,Delaware, Indiana,0.4486,0.0214
0500000US46103,Pennington County,Pennington, South Dakota,0.4487,0.0334
0500000US48203,Harrison County,Harrison, Texas,0.4487,0.037
0500000US04003,Cochise County,Cochise, Arizona,0.4488,0.0313
0500000US06047,Merced County,Merced, California,0.4696,0.0297
0500000US42013,Blair County,Blair, Pennsylvania,0.4488,0.0288
0500000US42029,Chester County,Chester, Pennsylvania,0.4489,0.0112
0500000US47001,Anderson County,Anderson, Tennessee,0.4489,0.0278
0500000US48367,Parker County,Parker, Texas,0.4491,0.0334
0500000US06053,Monterey County,Monterey, California,0.4687,0.0167
0500000US37071,Gaston County,Gaston, North Carolina,0.4493,0.0231
0500000US36027,Dutchess County,Dutchess, New York,0.4494,0.0119
0500000US12107,Putnam County,Putnam, Florida,0.4495,0.04
0500000US36081,Queens County,Queens, New York,0.4495,0.0067
0500000US51510,Alexandria city,Alexandr, Virginia,0.4497,0.0198
0500000US16019,Bonneville County,Bonneville, Idaho,0.4498,0.031
0500000US18057,Hamilton County,Hamilton, Indiana,0.4498,0.0249
0500000US24005,Baltimore County,Baltimore, Maryland,0.4499,0.0111
0500000US06065,Riverside County,Riverside, California,0.4687,0.0104
0500000US34035,Somerset County,Somerset, New Jersey,0.4501,0.017
0500000US48091,Comal County,Comal, Texas,0.4503,0.0276
0500000US36065,Oneida County,Oneida, New York,0.4504,0.0193
0500000US42085,Mercer County,Mercer, Pennsylvania,0.4506,0.0244
0500000US45051,Horry County,Horry, South Carolina,0.4508,0.0229
0500000US08101,Pueblo County,Pueblo, Colorado,0.4509,0.0247
